code,name,quality_score,grade,report_text_chars,report_evidence,keyword_count,news_count,shortlist_score,priority_score,latest_filing,latest_report,warnings
093380,풍강,74.0,검토 사용 가능,398648,100,1,0,44.4,41.4,20260414,반기보고서 (2026.02),최근 6개월 뉴스가 부족해 시장 이벤트 해석이 제한됩니다. / 사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
227100,프로브잇,86.0,투자심의 사용 가능,12475,52.9,0,11,0.0,27.4,20260609,연결감사보고서 (2025.12),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
044180,KD,92.0,투자심의 사용 가능,778451,100,1,30,34.8,51.9,20260601,[기재정정]사업보고서 (2025.12),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
053290,NE능률,92.0,투자심의 사용 가능,331133,100,1,8,25.3,38.7,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
035290,골드앤에스,92.0,투자심의 사용 가능,259767,100,1,30,35.1,43.5,20260528,주권매매거래정지해제              (액면병합 주권 변경상장),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
137940,넥스트아이,92.0,투자심의 사용 가능,445977,100,0,18,37.5,45.1,20260526,주권매매거래정지해제              (액면병합 주권 변경상장),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
462310,뉴키즈온,92.0,투자심의 사용 가능,389302,100,1,27,42.7,51.1,20260528,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
048470,대동스틸,92.0,투자심의 사용 가능,274760,100,0,30,33.5,43.0,20260617,주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
065150,대산F&B,92.0,투자심의 사용 가능,461199,100,1,17,28.7,49.6,20260605,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
036480,대성미생물,92.0,투자심의 사용 가능,229347,100,0,30,28.7,43.2,20260604,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
021040,대호특수강,92.0,투자심의 사용 가능,607269,100,0,24,39.7,54.5,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
073190,듀오백,92.0,투자심의 사용 가능,243865,100,1,30,41.4,54.4,20260616,조회공시요구(현저한시황변동)에대한답변(중요정보없음)              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
016670,디모아,92.0,투자심의 사용 가능,462266,100,1,29,38.3,53.7,20260527,[기재정정]주요사항보고서(유상증자결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
031860,디에이치엑스컴퍼니,92.0,투자심의 사용 가능,471489,100,1,30,21.9,46.0,20260617,사외이사의선임ㆍ해임또는중도퇴임에관한신고,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
197140,디지캡,92.0,투자심의 사용 가능,421583,100,1,30,36.4,50.6,20260610,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
131180,딜리,92.0,투자심의 사용 가능,307077,100,1,12,38.1,52.4,20260515,주권매매거래정지해제              (액면병합 주권 변경상장),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
900110,딥커머스,92.0,투자심의 사용 가능,316731,100,1,12,31.9,52.8,20260616,[기재정정]주주총회소집공고,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
462510,라메디텍,92.0,투자심의 사용 가능,320991,100,1,30,40.1,52.0,20260617,전환가액의조정              (제1회차),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
067730,로지시스,92.0,투자심의 사용 가능,206407,100,0,30,29.0,31.7,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
021880,메이슨캐피탈,92.0,투자심의 사용 가능,536000,100,0,30,31.9,46.6,20260617,사업보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
087260,모바일어플라이언스,92.0,투자심의 사용 가능,411283,100,0,30,32.7,48.2,20260616,[기재정정]의결권대리행사권유참고서류,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
348030,모비릭스,92.0,투자심의 사용 가능,343056,100,0,29,25.2,38.4,20260605,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
033200,모아텍,92.0,투자심의 사용 가능,381903,100,1,30,27.4,37.6,20260616,사업보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
035620,바른손이앤에이,92.0,투자심의 사용 가능,489083,100,1,29,36.3,52.6,20260601,[기재정정]주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
301300,바이브컴퍼니,92.0,투자심의 사용 가능,420996,100,1,28,45.9,61.8,20260608,전환사채(해외전환사채포함)발행후만기전사채취득              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
199730,바이오인프라,92.0,투자심의 사용 가능,263038,100,1,3,25.9,36.1,20260608,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
267790,배럴,92.0,투자심의 사용 가능,467898,100,0,6,34.6,38.6,20260615,주요사항보고서(자기주식취득결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
331520,밸로프,92.0,투자심의 사용 가능,476793,100,0,30,25.8,39.3,20260526,주식등의대량보유상황보고서(약식),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
438700,버넥트,92.0,투자심의 사용 가능,697690,100,1,30,41.6,49.9,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
406820,뷰티스킨,92.0,투자심의 사용 가능,505049,100,0,16,25.4,43.7,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
365900,브이씨,92.0,투자심의 사용 가능,439212,100,1,23,42.5,51.4,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
419540,비스토스,92.0,투자심의 사용 가능,236708,100,1,30,34.1,53.2,20260612,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
148780,비큐AI,92.0,투자심의 사용 가능,408899,100,0,30,26.8,45.8,20260612,의결권대리행사권유참고서류,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
377030,비트맥스,92.0,투자심의 사용 가능,408099,100,1,29,24.1,44.8,20260610,주식등의대량보유상황보고서(약식),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
238200,비피도,92.0,투자심의 사용 가능,386967,100,0,30,28.8,40.9,20260519,[기재정정]주요사항보고서(유형자산양도결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
223310,사토시홀딩스,92.0,투자심의 사용 가능,297482,100,1,30,31.9,50.5,20260609,전환가액의조정              (제12회차),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
065570,삼영이엔씨,92.0,투자심의 사용 가능,329314,100,1,30,21.8,39.6,20260602,기타시장안내              (기업심사위원회 개최기한 연장안내),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
032280,삼일,92.0,투자심의 사용 가능,290770,100,0,5,39.4,44.7,20260609,주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
032750,삼진,92.0,투자심의 사용 가능,354145,100,1,4,45.8,47.3,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
046390,삼화네트웍스,92.0,투자심의 사용 가능,438494,100,0,21,20.8,39.6,20260617,신탁계약해지결과보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
018680,서울제약,92.0,투자심의 사용 가능,340892,100,1,27,43.5,49.0,20260601,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
188260,세니젠,92.0,투자심의 사용 가능,613249,100,1,30,39.5,60.5,20260615,주주명부폐쇄기간또는기준일설정              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
039310,세중,92.0,투자심의 사용 가능,228007,100,0,7,41.5,46.5,20260514,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
252500,세화피앤씨,92.0,투자심의 사용 가능,354622,100,1,28,41.0,44.7,20260602,[기재정정]분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
258790,소프트캠프,92.0,투자심의 사용 가능,553530,100,1,29,24.6,41.5,20260611,임원ㆍ주요주주특정증권등거래계획보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
328380,솔트웨어,92.0,투자심의 사용 가능,332201,100,1,30,36.7,53.1,20260612,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
013810,스페코,92.0,투자심의 사용 가능,427910,100,1,30,30.2,38.2,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
131090,시큐브,92.0,투자심의 사용 가능,250040,100,0,30,29.5,40.1,20260527,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
025870,신라에스지,92.0,투자심의 사용 가능,432753,100,1,12,37.6,44.4,20260616,기업가치제고계획(자율공시)              (2026년 신라에스지(주) 기업가치제고 계획),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
208640,썸에이지,92.0,투자심의 사용 가능,392525,100,0,30,19.7,36.4,20260616,감자완료              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
109670,씨싸이트,92.0,투자심의 사용 가능,399754,100,0,18,20.8,33.8,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
