code,name,quality_score,grade,report_text_chars,report_evidence,keyword_count,news_count,shortlist_score,priority_score,latest_filing,latest_report,warnings
093380,풍강,74.0,검토 사용 가능,398648,100,1,0,44.4,41.4,20260414,반기보고서 (2026.02),최근 6개월 뉴스가 부족해 시장 이벤트 해석이 제한됩니다. / 사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
227100,프로브잇,86.0,투자심의 사용 가능,12475,52.9,0,11,0.0,27.4,20260609,연결감사보고서 (2025.12),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
065770,CS,92.0,투자심의 사용 가능,399511,100,1,27,17.8,39.3,20260601,대표이사변경              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
083660,CSA 코스믹,92.0,투자심의 사용 가능,390180,100,1,22,22.6,43.5,20260611,불성실공시법인지정              (공시변경),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
418620,E8,92.0,투자심의 사용 가능,474862,100,1,15,41.7,56.5,20260616,기타경영사항(자율공시)              (국책과제 선정(개인 맞춤형 잡곡 추천 및 취사 최적화를 위한 AI 기반 스마트 밥솥 시스템 개발)),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
044180,KD,92.0,투자심의 사용 가능,778451,100,0,30,27.2,45.7,20260601,[기재정정]사업보고서 (2025.12),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
101000,KS인더스트리,92.0,투자심의 사용 가능,455734,100,1,29,26.4,47.7,20260617,[기재정정]주주총회소집결의              (임시주주총회),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
053290,NE능률,92.0,투자심의 사용 가능,331133,100,1,8,25.3,38.7,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
035290,골드앤에스,92.0,투자심의 사용 가능,259767,100,1,30,35.1,43.5,20260528,주권매매거래정지해제              (액면병합 주권 변경상장),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
060480,국일신동,92.0,투자심의 사용 가능,232363,100,1,15,36.3,35.2,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
405920,나라셀라,92.0,투자심의 사용 가능,494591,100,1,19,48.4,50.8,20260604,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
137940,넥스트아이,92.0,투자심의 사용 가능,445977,100,1,18,47.0,52.1,20260526,주권매매거래정지해제              (액면병합 주권 변경상장),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
012340,뉴인텍,92.0,투자심의 사용 가능,425450,100,1,30,36.7,47.7,20260615,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
020400,대동금속,92.0,투자심의 사용 가능,229285,100,1,30,34.9,46.2,20260611,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
048470,대동스틸,92.0,투자심의 사용 가능,274760,100,0,30,33.5,43.0,20260617,주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
065150,대산F&B,92.0,투자심의 사용 가능,461199,100,0,17,21.0,43.4,20260605,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
036480,대성미생물,92.0,투자심의 사용 가능,229347,100,0,30,28.7,43.2,20260604,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
021040,대호특수강,92.0,투자심의 사용 가능,607269,100,0,24,39.7,54.5,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
224060,더코디,92.0,투자심의 사용 가능,546007,100,1,30,33.8,47.9,20260601,전환가액의조정              (제9회차),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
043090,더테크놀로지,92.0,투자심의 사용 가능,579371,100,1,5,29.0,48.4,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
060380,동양에스텍,92.0,투자심의 사용 가능,431990,100,1,18,47.6,43.4,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
023790,동일스틸럭스,92.0,투자심의 사용 가능,421548,100,1,30,22.2,45.8,20260526,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
073190,듀오백,92.0,투자심의 사용 가능,243865,100,0,30,33.7,48.2,20260616,조회공시요구(현저한시황변동)에대한답변(중요정보없음)              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
362990,드림인사이트,92.0,투자심의 사용 가능,433924,100,1,9,36.0,45.1,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
016670,디모아,92.0,투자심의 사용 가능,462266,100,1,29,38.3,53.7,20260527,[기재정정]주요사항보고서(유상증자결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
310870,디와이씨,92.0,투자심의 사용 가능,535242,100,1,30,48.0,54.2,20260616,[기재정정]주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
043360,디지아이,92.0,투자심의 사용 가능,367690,100,0,25,31.9,45.7,20260608,주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
197140,디지캡,92.0,투자심의 사용 가능,421583,100,0,30,28.7,44.4,20260610,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
131180,딜리,92.0,투자심의 사용 가능,307077,100,1,12,39.9,53.2,20260515,주권매매거래정지해제              (액면병합 주권 변경상장),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
900110,딥커머스,92.0,투자심의 사용 가능,316731,100,0,12,24.2,46.7,20260616,[기재정정]주주총회소집공고,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
317120,라닉스,92.0,투자심의 사용 가능,524644,100,1,30,32.6,51.9,20260616,전환가액의조정              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
462510,라메디텍,92.0,투자심의 사용 가능,320991,100,0,30,32.4,45.8,20260617,전환가액의조정              (제1회차),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
300120,라온피플,92.0,투자심의 사용 가능,550502,100,1,23,38.3,51.0,20260612,주주총회소집공고,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
067730,로지시스,92.0,투자심의 사용 가능,206407,100,0,30,29.0,31.7,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
214610,롤링스톤,92.0,투자심의 사용 가능,508039,100,1,30,28.6,47.6,20260617,주식등의대량보유상황보고서(약식),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
193250,링크드,92.0,투자심의 사용 가능,567223,100,0,30,33.5,53.0,20260605,주요사항보고서(타법인주식및출자증권양도결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
014100,메디앙스,92.0,투자심의 사용 가능,370943,100,0,29,34.7,39.9,20260615,주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
054180,메디콕스,92.0,투자심의 사용 가능,516754,100,1,30,22.6,43.9,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
021880,메이슨캐피탈,92.0,투자심의 사용 가능,536000,100,0,30,31.9,46.6,20260617,사업보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
087260,모바일어플라이언스,92.0,투자심의 사용 가능,411283,100,0,30,32.7,48.2,20260616,[기재정정]의결권대리행사권유참고서류,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
348030,모비릭스,92.0,투자심의 사용 가능,343056,100,0,29,25.2,38.4,20260605,주요사항보고서(자기주식취득신탁계약체결결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
142760,모아라이프플러스,92.0,투자심의 사용 가능,567208,100,1,29,48.2,63.9,20260617,[첨부정정]주요사항보고서(전환사채권발행결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
033200,모아텍,92.0,투자심의 사용 가능,381903,100,0,30,19.7,31.4,20260616,사업보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
001810,무림SP,92.0,투자심의 사용 가능,490787,100,1,20,46.4,47.2,20260515,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
279600,미디어젠,92.0,투자심의 사용 가능,305026,100,1,30,29.4,48.6,20260514,분기보고서 (2026.03),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
035620,바른손이앤에이,92.0,투자심의 사용 가능,489083,100,1,29,38.1,53.5,20260601,[기재정정]주식등의대량보유상황보고서(일반),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
301300,바이브컴퍼니,92.0,투자심의 사용 가능,420996,100,0,28,38.2,55.6,20260608,전환사채(해외전환사채포함)발행후만기전사채취득              ,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
199730,바이오인프라,92.0,투자심의 사용 가능,263038,100,0,3,25.9,36.1,20260608,임원ㆍ주요주주특정증권등소유상황보고서,사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
188040,바이오포트,92.0,투자심의 사용 가능,426868,100,1,11,52.0,56.8,20260601,주요사항보고서(자기주식취득결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
267790,배럴,92.0,투자심의 사용 가능,467898,100,1,6,44.0,45.6,20260615,주요사항보고서(자기주식취득결정),사업 키워드가 부족해 TL/르네스 시너지 판정이 흔들릴 수 있습니다.
